species_count	selected_species_dirs	selected_species_names	gene_name	anatomical_entity	gene_tissue_label	gene_class	canonical_label	gene_number	anatomical_entity_letter	plot_label	species_order	species_dir	species_name	cell_mean_score	cell_std_score	cell_n	cell_status	expression_score	plot_order
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	adipose tissue	H2AC11:adipose tissue	clustered	H2AC11:HGNC:4737	1	A	1:A	1	human	Homo sapiens	42.38375	0.8846458129023808	8	present_gold	42.38375	1
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	adipose tissue	H2AC11:adipose tissue	clustered	H2AC11:HGNC:4737	1	A	1:A	2	bos_taurus	Bos taurus	29.79	3.463110355350135	4	present_gold	29.79	1
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	adipose tissue	H2AC11:adipose tissue	clustered	H2AC11:HGNC:4737	1	A	1:A	3	canis_lupus_familiaris	Canis lupus familiaris	0.0	0.0	0	observed_zero	0.0	1
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	adipose tissue	H2AC11:adipose tissue	clustered	H2AC11:HGNC:4737	1	A	1:A	4	macaca_mulatta	Macaca mulatta	47.58	0.0	1	present_gold	47.58	1
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	adipose tissue	H2AC11:adipose tissue	clustered	H2AC11:HGNC:4737	1	A	1:A	5	sus_scrofa	Sus scrofa	56.64	0.0	1	present_gold	56.64	1
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	adult mammalian kidney	H2AC11:adult mammalian kidney	clustered	H2AC11:HGNC:4737	1	B	1:B	1	human	Homo sapiens	47.9775	7.696511655722135	4	present_gold	47.9775	2
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	adult mammalian kidney	H2AC11:adult mammalian kidney	clustered	H2AC11:HGNC:4737	1	B	1:B	2	bos_taurus	Bos taurus	34.0	0.0	1	present_gold	34.0	2
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	adult mammalian kidney	H2AC11:adult mammalian kidney	clustered	H2AC11:HGNC:4737	1	B	1:B	3	canis_lupus_familiaris	Canis lupus familiaris	40.225	8.53477884892163	2	present_gold	40.225	2
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	adult mammalian kidney	H2AC11:adult mammalian kidney	clustered	H2AC11:HGNC:4737	1	B	1:B	4	macaca_mulatta	Macaca mulatta	0.0	0.0	0	observed_zero	0.0	2
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	adult mammalian kidney	H2AC11:adult mammalian kidney	clustered	H2AC11:HGNC:4737	1	B	1:B	5	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	2
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	cerebellum	H2AC11:cerebellum	clustered	H2AC11:HGNC:4737	1	C	1:C	1	human	Homo sapiens	0.0	0.0	0	observed_zero	0.0	3
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	cerebellum	H2AC11:cerebellum	clustered	H2AC11:HGNC:4737	1	C	1:C	2	bos_taurus	Bos taurus	0.0	0.0	0	observed_zero	0.0	3
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	cerebellum	H2AC11:cerebellum	clustered	H2AC11:HGNC:4737	1	C	1:C	3	canis_lupus_familiaris	Canis lupus familiaris	46.875	9.072180002623403	2	present_gold	46.875	3
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	cerebellum	H2AC11:cerebellum	clustered	H2AC11:HGNC:4737	1	C	1:C	4	macaca_mulatta	Macaca mulatta	0.0	0.0	0	observed_zero	0.0	3
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	cerebellum	H2AC11:cerebellum	clustered	H2AC11:HGNC:4737	1	C	1:C	5	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	3
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	cerebral cortex	H2AC11:cerebral cortex	clustered	H2AC11:HGNC:4737	1	D	1:D	1	human	Homo sapiens	50.21333333333334	12.894387668025706	3	present_gold	50.21333333333334	4
